Comment Text,Cleaned Comment,Sentiment,lowercase,no_punct_digit,normalized,tokenized,preprocessing_comment
@wokskyyy emg celsi besfren bnget sama emyu,emg celsi besfren bnget sama emyu,negatif,emg celsi besfren bnget sama emyu,emg celsi besfren bnget sama emyu,memang celsi besfren banget sama emyu,"['memang', 'celsi', 'besfren', 'banget', 'sama', 'emyu']",celsi besfren banget emyu
@thejurgenholic bakalan emyu siti 3x beruntun,bakalan emyu siti x beruntun,negatif,bakalan emyu siti x beruntun,bakalan emyu siti x beruntun,bakalan emyu siti kali beruntun,"['bakalan', 'emyu', 'siti', 'kali', 'beruntun']",emyu siti kali beruntun
@smootiesblood h emyu,h emyu,netral,h emyu,h emyu,h emyu,"['h', 'emyu']",h emyu
Berhentilah merusak masa depan pemain potensial. Cukup King Anthony Gasing saja korban terakhirmu wahai @ManUtd_ID,berhentilah merusak masa depan pemain potensial cukup king anthony gasing saja korban terakhirmu wahai,negatif,berhentilah merusak masa depan pemain potensial cukup king anthony gasing saja korban terakhirmu wahai,berhentilah merusak masa depan pemain potensial cukup king anthony gasing saja korban terakhirmu wahai,berhentilah merusak masa depan pemain potensial cukup king anthony gasing saja korban terakhirmu wahai,"['berhentilah', 'merusak', 'masa', 'depan', 'pemain', 'potensial', 'cukup', 'king', 'anthony', 'gasing', 'saja', 'korban', 'terakhirmu', 'wahai']",berhentilah merusak pemain potensial king anthony gasing korban terakhirmu
@ManUtd_ID Kita mah orang susah. Susah dibantai maksudnya.,kita mah orang susah susah dibantai maksudnya,negatif,kita mah orang susah susah dibantai maksudnya,kita mah orang susah susah dibantai maksudnya,kita mah orang susah susah dibantai maksudnya,"['kita', 'mah', 'orang', 'susah', 'susah', 'dibantai', 'maksudnya']",mah orang susah susah dibantai maksudnya
@tawakkaI Emyu cuma serius kl lawan Liverpool aja Kak sisanya juga sama,emyu cuma serius kl lawan liverpool aja kak sisanya juga sama,netral,emyu cuma serius kl lawan liverpool aja kak sisanya juga sama,emyu cuma serius kl lawan liverpool aja kak sisanya juga sama,emyu cuma serius kalo lawan liverpool saja kak sisanya juga sama,"['emyu', 'cuma', 'serius', 'kalo', 'lawan', 'liverpool', 'saja', 'kak', 'sisanya', 'juga', 'sama']",emyu serius kalo lawan liverpool kak sisanya
@SFT00SUNWOO //: tenang.... aku juga sebenernya pens emyu *malu mengakui* onana kumaha onana? wkwkwkwkwkwkwkwkwkwk.,tenang aku juga sebenernya pens emyu malu mengakui onana kumaha onana wkwkwkwkwkwkwkwkwkwk,negatif,tenang aku juga sebenernya pens emyu malu mengakui onana kumaha onana wkwkwkwkwkwkwkwkwkwk,tenang aku juga sebenernya pens emyu malu mengakui onana kumaha onana wkwkwkwkwkwkwkwkwkwk,tenang aku juga sebenarnya pens emyu malu mengakui onana kumaha onana wkwkwkwkwkwkwkwkwkwk,"['tenang', 'aku', 'juga', 'sebenarnya', 'pens', 'emyu', 'malu', 'mengakui', 'onana', 'kumaha', 'onana', 'wkwkwkwkwkwkwkwkwkwk']",tenang pens emyu malu mengakui onana kumaha onana wkwkwkwkwkwkwkwkwkwk
@vergant santai santai emyu jg kalah sm brighton,santai santai emyu jg kalah sm brighton,negatif,santai santai emyu jg kalah sm brighton,santai santai emyu jg kalah sm brighton,santai santai emyu juga kalah sama brighton,"['santai', 'santai', 'emyu', 'juga', 'kalah', 'sama', 'brighton']",santai santai emyu kalah brighton
@ManUtd_ID Dalot goblok kalo gak back pass ya bengong. Manusia setengah orong orong,dalot goblok kalo gak back pass ya bengong manusia setengah orong orong,negatif,dalot goblok kalo gak back pass ya bengong manusia setengah orong orong,dalot goblok kalo gak back pass ya bengong manusia setengah orong orong,dalot goblok kalo enggak back pass ya bengong manusia setengah orong orong,"['dalot', 'goblok', 'kalo', 'enggak', 'back', 'pass', 'ya', 'bengong', 'manusia', 'setengah', 'orong', 'orong']",dalot goblok kalo back pass ya bengong manusia orong orong
@ManUtd_ID saiki kalahan lee,saiki kalahan lee,negatif,saiki kalahan lee,saiki kalahan lee,saiki kalahan lee,"['saiki', 'kalahan', 'lee']",saiki kalahan lee
@maedriku pdhl kamu punya aku dik kok malah milih jadi fans emyu. emang kenapa kalo 30 menit? kalo kamu pake jurus seribu bayangan selesai itu.,pdhl kamu punya aku dik kok malah milih jadi fans emyu emang kenapa kalo menit kalo kamu pake jurus seribu bayangan selesai itu,negatif,pdhl kamu punya aku dik kok malah milih jadi fans emyu emang kenapa kalo menit kalo kamu pake jurus seribu bayangan selesai itu,pdhl kamu punya aku dik kok malah milih jadi fans emyu emang kenapa kalo menit kalo kamu pake jurus seribu bayangan selesai itu,padahal kamu punya aku dik kok malah memilih jadi fan emyu memang kenapa kalo menit kalo kamu pakai jurus seribu bayangan selesai itu,"['padahal', 'kamu', 'punya', 'aku', 'dik', 'kok', 'malah', 'memilih', 'jadi', 'fan', 'emyu', 'memang', 'kenapa', 'kalo', 'menit', 'kalo', 'kamu', 'pakai', 'jurus', 'seribu', 'bayangan', 'selesai', 'itu']",dik memilih fan emyu kalo menit kalo pakai jurus seribu bayangan selesai
@ManUtd_ID Goa di paling ujung ya,goa di paling ujung ya,netral,goa di paling ujung ya,goa di paling ujung ya,goa di paling ujung ya,"['goa', 'di', 'paling', 'ujung', 'ya']",goa ujung ya
@ManUtd_ID Cari kiper... yang refleck Nangkap bola. Kalau sering terdiam biasanya focusnya udah gak tajam lagi.,cari kiper yang refleck nangkap bola kalau sering terdiam biasanya focusnya udah gak tajam lagi,negatif,cari kiper yang refleck nangkap bola kalau sering terdiam biasanya focusnya udah gak tajam lagi,cari kiper yang refleck nangkap bola kalau sering terdiam biasanya focusnya udah gak tajam lagi,cari kiper yang refleck nangkap bola kalau sering terdiam biasanya focusnya sudah enggak tajam lagi,"['cari', 'kiper', 'yang', 'refleck', 'nangkap', 'bola', 'kalau', 'sering', 'terdiam', 'biasanya', 'focusnya', 'sudah', 'enggak', 'tajam', 'lagi']",cari kiper refleck nangkap bola terdiam focusnya tajam
@ManUtd_ID sesuai hastag MU TOTTTTTTTTTTTTTTTTTTTTTTTTTT,sesuai hastag mu tot,netral,sesuai hastag mu tot,sesuai hastag mu tot,sesuai hastag mu entot,"['sesuai', 'hastag', 'mu', 'entot']",sesuai hastag mu entot
Manchester United semakin terpuruk usai kalah telak dari Tottenham dengan Bruno Fernandes diusir keluar. Erik ten Hag semakin di bawah tekanan kala Chelsea merangsak naik di papan atas. #MUNTOT epl premier league vidio ten hag emyu spurs dalot emyu https://t.co/qeHtx9XOyM,manchester united semakin terpuruk usai kalah telak dari tottenham dengan bruno fernandes diusir keluar erik ten hag semakin di bawah tekanan kala chelsea merangsak naik di papan atas muntot epl premier league vidio ten hag emyu spurs dalot emyu,negatif,manchester united semakin terpuruk usai kalah telak dari tottenham dengan bruno fernandes diusir keluar erik ten hag semakin di bawah tekanan kala chelsea merangsak naik di papan atas muntot epl premier league vidio ten hag emyu spurs dalot emyu,manchester united semakin terpuruk usai kalah telak dari tottenham dengan bruno fernandes diusir keluar erik ten hag semakin di bawah tekanan kala chelsea merangsak naik di papan atas muntot epl premier league vidio ten hag emyu spurs dalot emyu,manchester united semakin terpuruk usai kalah telak dari tottenham dengan bruno fernandes diusir keluar erik ten hag semakin di bawah tekanan kala chelsea merangsak naik di papan atas muntot epl premier league vidio ten hag emyu spurs dalot emyu,"['manchester', 'united', 'semakin', 'terpuruk', 'usai', 'kalah', 'telak', 'dari', 'tottenham', 'dengan', 'bruno', 'fernandes', 'diusir', 'keluar', 'erik', 'ten', 'hag', 'semakin', 'di', 'bawah', 'tekanan', 'kala', 'chelsea', 'merangsak', 'naik', 'di', 'papan', 'atas', 'muntot', 'epl', 'premier', 'league', 'vidio', 'ten', 'hag', 'emyu', 'spurs', 'dalot', 'emyu']",manchester united terpuruk kalah telak tottenham bruno fernandes diusir erik ten hag tekanan chelsea merangsak papan muntot epl premier league vidio ten hag emyu spurs dalot emyu
@DaniPudlian @tubbirfess emyu mah salah kompetisi aja yakali klub peternak lele bersaing di EPL,emyu mah salah kompetisi aja yakali klub peternak lele bersaing di epl,negatif,emyu mah salah kompetisi aja yakali klub peternak lele bersaing di epl,emyu mah salah kompetisi aja yakali klub peternak lele bersaing di epl,emyu mah salah kompetisi saja yakali klub peternak lele bersaing di epl,"['emyu', 'mah', 'salah', 'kompetisi', 'saja', 'yakali', 'klub', 'peternak', 'lele', 'bersaing', 'di', 'epl']",emyu mah salah kompetisi yakali klub peternak lele bersaing epl
RESMI Sekou Kone resmi berseragam Manchester United #ManchesterUnited #SekouKone #kingemyu https://t.co/B7uiYfuMTi,resmi sekou kone resmi berseragam manchester united manchesterunited sekoukone kingemyu,netral,resmi sekou kone resmi berseragam manchester united manchesterunited sekoukone kingemyu,resmi sekou kone resmi berseragam manchester united manchesterunited sekoukone kingemyu,resmi sekou kone resmi berseragam manchester united manchesterunited sekoukone kingemyu,"['resmi', 'sekou', 'kone', 'resmi', 'berseragam', 'manchester', 'united', 'manchesterunited', 'sekoukone', 'kingemyu']",resmi sekou kone resmi berseragam manchester united manchesterunited sekoukone kingemyu
@ManUtd_ID Kalian sepele,kalian sepele,negatif,kalian sepele,kalian sepele,kalian sepele,"['kalian', 'sepele']",sepele
Tukang parkir pelaku pelecehan yg viral akhirnya diamankan Kepolisian. TKP di dekat rumah duka di Bekasi Timur Kota Bekasi. Nyamuk Wulan Guritno Mulyono Manchester United Kalah Tegal Depok andika hendi menang Emyu kemenangan 03 Istana Wakil Presiden https://t.co/BCIiXaOwSu,tukang parkir pelaku pelecehan yg viral akhirnya diamankan kepolisian tkp di dekat rumah duka di bekasi timur kota bekasi nyamuk wulan guritno mulyono manchester united kalah tegal depok andika hendi menang emyu kemenangan istana wakil presiden,netral,tukang parkir pelaku pelecehan yg viral akhirnya diamankan kepolisian tkp di dekat rumah duka di bekasi timur kota bekasi nyamuk wulan guritno mulyono manchester united kalah tegal depok andika hendi menang emyu kemenangan istana wakil presiden,tukang parkir pelaku pelecehan yg viral akhirnya diamankan kepolisian tkp di dekat rumah duka di bekasi timur kota bekasi nyamuk wulan guritno mulyono manchester united kalah tegal depok andika hendi menang emyu kemenangan istana wakil presiden,tukang parkir pelaku pelecehan yang viral akhirnya diamankan kepolisian tkp di dekat rumah duka di bekasi timur kota bekasi nyamuk wulan guritno mulyono manchester united kalah tegal depok andika hendi menang emyu kemenangan istana wakil presiden,"['tukang', 'parkir', 'pelaku', 'pelecehan', 'yang', 'viral', 'akhirnya', 'diamankan', 'kepolisian', 'tkp', 'di', 'dekat', 'rumah', 'duka', 'di', 'bekasi', 'timur', 'kota', 'bekasi', 'nyamuk', 'wulan', 'guritno', 'mulyono', 'manchester', 'united', 'kalah', 'tegal', 'depok', 'andika', 'hendi', 'menang', 'emyu', 'kemenangan', 'istana', 'wakil', 'presiden']",tukang parkir pelaku pelecehan viral diamankan kepolisian tkp rumah duka bekasi timur kota bekasi nyamuk wulan guritno mulyono manchester united kalah tegal depok andika hendi menang emyu kemenangan istana wakil presiden
nanti malem manchester united vs chelsea saya harap emyu bisa menang. Btw apakabar mba chelsea islan,nanti malem manchester united vs chelsea saya harap emyu bisa menang btw apakabar mba chelsea islan,positif,nanti malem manchester united vs chelsea saya harap emyu bisa menang btw apakabar mba chelsea islan,nanti malem manchester united vs chelsea saya harap emyu bisa menang btw apakabar mba chelsea islan,nanti malem manchester united vs chelsea saya harap emyu bisa menang btw apakabar mbak chelsea islan,"['nanti', 'malem', 'manchester', 'united', 'vs', 'chelsea', 'saya', 'harap', 'emyu', 'bisa', 'menang', 'btw', 'apakabar', 'mbak', 'chelsea', 'islan']",malem manchester united vs chelsea harap emyu menang btw apakabar mbak chelsea islan
@ManUtd_ID Terus lah menjadi Badut,terus lah menjadi badut,negatif,terus lah menjadi badut,terus lah menjadi badut,terus lah menjadi badut,"['terus', 'lah', 'menjadi', 'badut']",badut
@oreo_freeze @ManUtd_ID ajg terus dia mah kak,ajg terus dia mah kak,negatif,ajg terus dia mah kak,ajg terus dia mah kak,ajg terus dia mah kak,"['ajg', 'terus', 'dia', 'mah', 'kak']",ajg mah kak
@ManUtd_ID @adidasfootball emang cakep yang jelek mainnya,emang cakep yang jelek mainnya,negatif,emang cakep yang jelek mainnya,emang cakep yang jelek mainnya,memang cakep yang jelek mainnya,"['memang', 'cakep', 'yang', 'jelek', 'mainnya']",cakep jelek mainnya
@ManUtd_ID Kalo kipernya Onana aku tidur,kalo kipernya onana aku tidur,netral,kalo kipernya onana aku tidur,kalo kipernya onana aku tidur,kalo kipernya onana aku tidur,"['kalo', 'kipernya', 'onana', 'aku', 'tidur']",kalo kipernya onana tidur
@Jawirtzy @ManUtd_ID masih aja dukung club liga 3,masih aja dukung club liga,negatif,masih aja dukung club liga,masih aja dukung club liga,masih saja dukung club liga,"['masih', 'saja', 'dukung', 'club', 'liga']",dukung club liga
Tumben2an Arsenal kalah kalo Emyu sih udah gak heran deh #arsenal #ManchesterUnited,tumbenan arsenal kalah kalo emyu sih udah gak heran deh arsenal manchesterunited,negatif,tumbenan arsenal kalah kalo emyu sih udah gak heran deh arsenal manchesterunited,tumbenan arsenal kalah kalo emyu sih udah gak heran deh arsenal manchesterunited,tumbenan arsenal kalah kalo emyu sih sudah enggak heran deh arsenal manchesterunited,"['tumbenan', 'arsenal', 'kalah', 'kalo', 'emyu', 'sih', 'sudah', 'enggak', 'heran', 'deh', 'arsenal', 'manchesterunited']",tumbenan arsenal kalah kalo emyu sih heran deh arsenal manchesterunited
@Ice_Maann @ManUtd_ID Liverpool man wkwkwk 1 org yg tantrum semuanya malu njir bgt lah,liverpool man wkwkwk org yg tantrum semuanya malu njir bgt lah,negatif,liverpool man wkwkwk org yg tantrum semuanya malu njir bgt lah,liverpool man wkwkwk org yg tantrum semuanya malu njir bgt lah,liverpool man wkwkwk orang yang tantrum semuanya malu anjir banget lah,"['liverpool', 'man', 'wkwkwk', 'orang', 'yang', 'tantrum', 'semuanya', 'malu', 'anjir', 'banget', 'lah']",liverpool man wkwkwk orang tantrum malu anjir banget
@ManUtd_ID Wkwkwkwkwkwkwkwk,wkwkwkwkwkwkwkwk,negatif,wkwkwkwkwkwkwkwk,wkwkwkwkwkwkwkwk,wkwkwkwkwkwkwkwk,['wkwkwkwkwkwkwkwk'],wkwkwkwkwkwkwkwk
@burungbeokk @ManUtd_ID tiada hari tanpa memaki MU,tiada hari tanpa memaki mu,negatif,tiada hari tanpa memaki mu,tiada hari tanpa memaki mu,tiada hari tanpa memaki mu,"['tiada', 'hari', 'tanpa', 'memaki', 'mu']",tiada memaki mu
@ManUtd_ID @HarryMaguire93 Klo sdh tembus 5 besar baru ngomong lahh....org peringkat msh Deket yg degradasi di banding keatas....makanya beli Osimhen!!!,klo sdh tembus besar baru ngomong lahhorg peringkat msh deket yg degradasi di banding keatasmakanya beli osimhen,negatif,klo sdh tembus besar baru ngomong lahhorg peringkat msh deket yg degradasi di banding keatasmakanya beli osimhen,klo sdh tembus besar baru ngomong lahhorg peringkat msh deket yg degradasi di banding keatasmakanya beli osimhen,kalo sudah tembus besar baru mengomong lahhorg peringkat masih dekat yang degradasi di banding keatasmakanya beli osimhen,"['kalo', 'sudah', 'tembus', 'besar', 'baru', 'mengomong', 'lahhorg', 'peringkat', 'masih', 'dekat', 'yang', 'degradasi', 'di', 'banding', 'keatasmakanya', 'beli', 'osimhen']",kalo tembus mengomong lahhorg peringkat degradasi banding keatasmakanya beli osimhen
@ManUtd_ID Caper ajg,caper ajg,negatif,caper ajg,caper ajg,caper ajg,"['caper', 'ajg']",caper ajg
@ManUtd_ID Sudah cukup sampai disini#TenHagOut,sudah cukup sampai disinitenhagout,netral,sudah cukup sampai disinitenhagout,sudah cukup sampai disinitenhagout,sudah cukup sampai disinitenhagout,"['sudah', 'cukup', 'sampai', 'disinitenhagout']",disinitenhagout
@ManUtd_ID kasih paham min,kasih paham min,netral,kasih paham min,kasih paham min,kasih paham min,"['kasih', 'paham', 'min']",kasih paham min
@ManUtd_ID Bau bau bikin mager nonton ni mah,bau bau bikin mager nonton ni mah,negatif,bau bau bikin mager nonton ni mah,bau bau bikin mager nonton ni mah,bau bau bikin mager menonton ini mah,"['bau', 'bau', 'bikin', 'mager', 'menonton', 'ini', 'mah']",bau bau bikin mager menonton mah
@ManUtd_ID Mending tidur min,mending tidur min,negatif,mending tidur min,mending tidur min,mending tidur min,"['mending', 'tidur', 'min']",mending tidur min
@ManUtd_ID Sampah,sampah,negatif,sampah,sampah,sampah,['sampah'],sampah
Ada sekitar 1 869 pemain di 5 liga top eropa musim ini. Hanya 1 pemain yg mencatatkan 10+ interceptions dan 10+ progressive passes Dan dia adalah Kobbie Mainoo [@StatmanDave] #ManchesterUnited #Mainoo #kingemyu https://t.co/h6RHJGng2Q,ada sekitar pemain di liga top eropa musim ini hanya pemain yg mencatatkan interceptions dan progressive passes dan dia adalah kobbie mainoo manchesterunited mainoo kingemyu,netral,ada sekitar pemain di liga top eropa musim ini hanya pemain yg mencatatkan interceptions dan progressive passes dan dia adalah kobbie mainoo manchesterunited mainoo kingemyu,ada sekitar pemain di liga top eropa musim ini hanya pemain yg mencatatkan interceptions dan progressive passes dan dia adalah kobbie mainoo manchesterunited mainoo kingemyu,ada sekitar pemain di liga top eropa musim ini hanya pemain yang mencatatkan interceptions dan progressive passes dan dia adalah kobbie mainoo manchesterunited mainoo kingemyu,"['ada', 'sekitar', 'pemain', 'di', 'liga', 'top', 'eropa', 'musim', 'ini', 'hanya', 'pemain', 'yang', 'mencatatkan', 'interceptions', 'dan', 'progressive', 'passes', 'dan', 'dia', 'adalah', 'kobbie', 'mainoo', 'manchesterunited', 'mainoo', 'kingemyu']",pemain liga top eropa musim pemain mencatatkan interceptions progressive passes kobbie mainoo manchesterunited mainoo kingemyu
Tanggal dan jadwal lengkap Manchester United di Europa League (Jam waktu eropa) #ManchesterUnited #EuropaLeague #kingemyu https://t.co/yPYxjnHnMw,tanggal dan jadwal lengkap manchester united di europa league jam waktu eropa manchesterunited europaleague kingemyu,positif,tanggal dan jadwal lengkap manchester united di europa league jam waktu eropa manchesterunited europaleague kingemyu,tanggal dan jadwal lengkap manchester united di europa league jam waktu eropa manchesterunited europaleague kingemyu,tanggal dan jadwal lengkap manchester united di europa league jam waktu eropa manchesterunited europaleague kingemyu,"['tanggal', 'dan', 'jadwal', 'lengkap', 'manchester', 'united', 'di', 'europa', 'league', 'jam', 'waktu', 'eropa', 'manchesterunited', 'europaleague', 'kingemyu']",tanggal jadwal lengkap manchester united europa league jam eropa manchesterunited europaleague kingemyu
BOCIL INI FANS EMYU SEJAK LAHIR .. NAMA NYA PAKAI NAMA PEMAIN DAN PELATIH EMYU DER#infobola #football #kualifikasipialadunia2026 #manchesterunited https://t.co/3RuRb9TRKh,bocil ini fans emyu sejak lahir nama nya pakai nama pemain dan pelatih emyu derinfobola football kualifikasipialadunia manchesterunited,netral,bocil ini fans emyu sejak lahir nama nya pakai nama pemain dan pelatih emyu derinfobola football kualifikasipialadunia manchesterunited,bocil ini fans emyu sejak lahir nama nya pakai nama pemain dan pelatih emyu derinfobola football kualifikasipialadunia manchesterunited,bocil ini fan emyu sejak lahir nama nya pakai nama pemain dan pelatih emyu derinfobola football kualifikasipialadunia manchesterunited,"['bocil', 'ini', 'fan', 'emyu', 'sejak', 'lahir', 'nama', 'nya', 'pakai', 'nama', 'pemain', 'dan', 'pelatih', 'emyu', 'derinfobola', 'football', 'kualifikasipialadunia', 'manchesterunited']",bocil fan emyu lahir nama nya pakai nama pemain pelatih emyu derinfobola football kualifikasipialadunia manchesterunited
@ajiwhypras @ManUtd_ID Ya trus siapa lagi bang yg bisa tersedia,ya trus siapa lagi bang yg bisa tersedia,netral,ya trus siapa lagi bang yg bisa tersedia,ya trus siapa lagi bang yg bisa tersedia,ya terus siapa lagi bang yang bisa tersedia,"['ya', 'terus', 'siapa', 'lagi', 'bang', 'yang', 'bisa', 'tersedia']",ya bang tersedia
@ManUtd_ID 20 atau 13 nih?,atau nih,netral,atau nih,atau nih,atau nih,"['atau', 'nih']",nih
