Comment Text,Cleaned Comment,Sentiment,lowercase,no_punct_digit,normalized,tokenized,preprocessing_comment
Bye bye FAï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,bye bye fa,positif,bye bye fa,bye bye fa,bye bye fa,"['bye', 'bye', 'fa']",bye bye fa
Ni pelatih emg kebanyakan bacot. Tong kosong bunyinya emg nyaring dah.,ni pelatih emg kebanyakan bacot tong kosong bunyinya emg nyaring dah,negatif,ni pelatih emg kebanyakan bacot tong kosong bunyinya emg nyaring dah,ni pelatih emg kebanyakan bacot tong kosong bunyinya emg nyaring dah,ini pelatih memang kebanyakan bacot tong kosong bunyinya memang nyaring deh,"['ini', 'pelatih', 'memang', 'kebanyakan', 'bacot', 'tong', 'kosong', 'bunyinya', 'memang', 'nyaring', 'deh']",pelatih kebanyakan bacot tong kosong bunyinya nyaring deh
"Lawan kita memang lebih kuat, tapi harusnya kita bisa kasih perlawanan lebih baik.",lawan kita memang lebih kuat tapi harusnya kita bisa kasih perlawanan lebih baik,positif,lawan kita memang lebih kuat tapi harusnya kita bisa kasih perlawanan lebih baik,lawan kita memang lebih kuat tapi harusnya kita bisa kasih perlawanan lebih baik,lawan kita memang lebih kuat tapi harusnya kita bisa kasih perlawanan lebih baik,"['lawan', 'kita', 'memang', 'lebih', 'kuat', 'tapi', 'harusnya', 'kita', 'bisa', 'kasih', 'perlawanan', 'lebih', 'baik']",lawan kuat kasih perlawanan
Gak nonton malah menang,gak nonton malah menang,positif,gak nonton malah menang,gak nonton malah menang,enggak menonton malah menang,"['enggak', 'menonton', 'malah', 'menang']",menonton menang
"Kekalahan 1-2, dan kita kalah hanya karena kesalahan pertahanan. Tim butuh pembenahan segera, ini nggak bisa dibiarkan.",kekalahan dan kita kalah hanya karena kesalahan pertahanan tim butuh pembenahan segera ini nggak bisa dibiarkan,positif,kekalahan dan kita kalah hanya karena kesalahan pertahanan tim butuh pembenahan segera ini nggak bisa dibiarkan,kekalahan dan kita kalah hanya karena kesalahan pertahanan tim butuh pembenahan segera ini nggak bisa dibiarkan,kekalahan dan kita kalah hanya karena kesalahan pertahanan tim butuh pembenahan segera ini enggak bisa dibiarkan,"['kekalahan', 'dan', 'kita', 'kalah', 'hanya', 'karena', 'kesalahan', 'pertahanan', 'tim', 'butuh', 'pembenahan', 'segera', 'ini', 'enggak', 'bisa', 'dibiarkan']",kekalahan kalah kesalahan pertahanan tim butuh pembenahan dibiarkan
"Udah hopeless musim ini, gak degra udah untung ï£¿Ã¼Ã²Ã",udah hopeless musim ini gak degra udah untung,positif,udah hopeless musim ini gak degra udah untung,udah hopeless musim ini gak degra udah untung,sudah hopeless musim ini enggak degra sudah untung,"['sudah', 'hopeless', 'musim', 'ini', 'enggak', 'degra', 'sudah', 'untung']",hopeless musim degra untung
"kalo liat bola naik baru maju maju gak offside bang, tapi kalo liat posisi gini ya offside, kalo diambil si dalot tadi offside jelas",kalo liat bola naik baru maju maju gak offside bang tapi kalo liat posisi gini ya offside kalo diambil si dalot tadi offside jelas,negatif,kalo liat bola naik baru maju maju gak offside bang tapi kalo liat posisi gini ya offside kalo diambil si dalot tadi offside jelas,kalo liat bola naik baru maju maju gak offside bang tapi kalo liat posisi gini ya offside kalo diambil si dalot tadi offside jelas,kalo lihat bola naik baru maju maju enggak offside bang tapi kalo lihat posisi begini ya offside kalo diambil sih dalot tadi offside jelas,"['kalo', 'lihat', 'bola', 'naik', 'baru', 'maju', 'maju', 'enggak', 'offside', 'bang', 'tapi', 'kalo', 'lihat', 'posisi', 'begini', 'ya', 'offside', 'kalo', 'diambil', 'sih', 'dalot', 'tadi', 'offside', 'jelas']",kalo lihat bola maju maju offside bang kalo lihat posisi ya offside kalo diambil sih dalot offside
"Taktik pressing MU udah mulai keliatan bagus, tinggal eksekusi yang lebih baik.",taktik pressing mu udah mulai keliatan bagus tinggal eksekusi yang lebih baik,positif,taktik pressing mu udah mulai keliatan bagus tinggal eksekusi yang lebih baik,taktik pressing mu udah mulai keliatan bagus tinggal eksekusi yang lebih baik,taktik pressing mu sudah mulai kelihatan bagus tinggal eksekusi yang lebih baik,"['taktik', 'pressing', 'mu', 'sudah', 'mulai', 'kelihatan', 'bagus', 'tinggal', 'eksekusi', 'yang', 'lebih', 'baik']",taktik pressing mu bagus tinggal eksekusi
"Ten Hag terlalu keras kepala dengan sistemnya, Amorim lebih adaptif dengan situasi.",ten hag terlalu keras kepala dengan sistemnya amorim lebih adaptif dengan situasi,negatif,ten hag terlalu keras kepala dengan sistemnya amorim lebih adaptif dengan situasi,ten hag terlalu keras kepala dengan sistemnya amorim lebih adaptif dengan situasi,ten hag terlalu keras kepala dengan sistemnya amorim lebih adaptif dengan situasi,"['ten', 'hag', 'terlalu', 'keras', 'kepala', 'dengan', 'sistemnya', 'amorim', 'lebih', 'adaptif', 'dengan', 'situasi']",ten hag keras kepala sistemnya amorim adaptif situasi
"dalot juga bisa jadi LB, tapi yaa gitu kan? Mctominay bisa jadi striker, tapi ya gitu kan? Ayolah bro come on. Give me something laah. Kalo debat tapi kosong tuh gemes gw kadang2",dalot juga bisa jadi lb tapi yaa gitu kan mctominay bisa jadi striker tapi ya gitu kan ayolah bro come on give me something laah kalo debat tapi kosong tuh gemes gw kadang,negatif,dalot juga bisa jadi lb tapi yaa gitu kan mctominay bisa jadi striker tapi ya gitu kan ayolah bro come on give me something laah kalo debat tapi kosong tuh gemes gw kadang,dalot juga bisa jadi lb tapi yaa gitu kan mctominay bisa jadi striker tapi ya gitu kan ayolah bro come on give me something laah kalo debat tapi kosong tuh gemes gw kadang,dalot juga bisa jadi lb tapi ya begitu kan mctominay bisa jadi striker tapi ya begitu kan ayolah bro come on give me something laah kalo debat tapi kosong tuh gemas gue kadang,"['dalot', 'juga', 'bisa', 'jadi', 'lb', 'tapi', 'ya', 'begitu', 'kan', 'mctominay', 'bisa', 'jadi', 'striker', 'tapi', 'ya', 'begitu', 'kan', 'ayolah', 'bro', 'come', 'on', 'give', 'me', 'something', 'laah', 'kalo', 'debat', 'tapi', 'kosong', 'tuh', 'gemas', 'gue', 'kadang']",dalot lb ya mctominay striker ya ayolah bro come on give me something laah kalo debat kosong tuh gemas gue kadang
"Dimanjain ini ETH ,keterlaluan ga 4 besar sama dapet 2 trophy mah",dimanjain ini eth keterlaluan ga besar sama dapet trophy mah,negatif,dimanjain ini eth keterlaluan ga besar sama dapet trophy mah,dimanjain ini eth keterlaluan ga besar sama dapet trophy mah,dimanjain ini eth keterlaluan enggak besar sama dapat trophy mah,"['dimanjain', 'ini', 'eth', 'keterlaluan', 'enggak', 'besar', 'sama', 'dapat', 'trophy', 'mah']",dimanjain eth trophy mah
Gw gak paham kenapa dia selalu main terus pdhl mainnya begitu begitu aja,gw gak paham kenapa dia selalu main terus pdhl mainnya begitu begitu aja,negatif,gw gak paham kenapa dia selalu main terus pdhl mainnya begitu begitu aja,gw gak paham kenapa dia selalu main terus pdhl mainnya begitu begitu aja,gue enggak paham kenapa dia selalu main terus padahal mainnya begitu begitu saja,"['gue', 'enggak', 'paham', 'kenapa', 'dia', 'selalu', 'main', 'terus', 'padahal', 'mainnya', 'begitu', 'begitu', 'saja']",gue paham main mainnya
@anjarnikeysa rasford lol,rasford lol,negatif,rasford lol,rasford lol,rasford lol,"['rasford', 'lol']",rasford lol
"Kasihan striker kita, bola nggak sampai ke depan! Midfieldnya mati total!",kasihan striker kita bola nggak sampai ke depan midfieldnya mati total,positif,kasihan striker kita bola nggak sampai ke depan midfieldnya mati total,kasihan striker kita bola nggak sampai ke depan midfieldnya mati total,kasihan striker kita bola enggak sampai ke depan midfieldnya mati total,"['kasihan', 'striker', 'kita', 'bola', 'enggak', 'sampai', 'ke', 'depan', 'midfieldnya', 'mati', 'total']",kasihan striker bola midfieldnya mati total
Mantap kesian Casemeiro klo bertahan dewekan,mantap kesian casemeiro klo bertahan dewekan,positif,mantap kesian casemeiro klo bertahan dewekan,mantap kesian casemeiro klo bertahan dewekan,mantap kesian casemeiro kalo bertahan dewekan,"['mantap', 'kesian', 'casemeiro', 'kalo', 'bertahan', 'dewekan']",mantap kesian casemeiro kalo bertahan dewekan
@andhikavananda dibantu havertz,dibantu havertz,netral,dibantu havertz,dibantu havertz,dibantu havertz,"['dibantu', 'havertz']",dibantu havertz
FA dan European league reality,fa dan european league reality,netral,fa dan european league reality,fa dan european league reality,fa dan european league reality,"['fa', 'dan', 'european', 'league', 'reality']",fa european league reality
"Coba saranin pelatih dong abang ganteng, nanti giliran udh diganti trus ga dapet tropi ngamuk lagi aduh",coba saranin pelatih dong abang ganteng nanti giliran udh diganti trus ga dapet tropi ngamuk lagi aduh,negatif,coba saranin pelatih dong abang ganteng nanti giliran udh diganti trus ga dapet tropi ngamuk lagi aduh,coba saranin pelatih dong abang ganteng nanti giliran udh diganti trus ga dapet tropi ngamuk lagi aduh,coba menyarankan pelatih dong abang ganteng nanti giliran sudah diganti terus enggak dapat tropi ngamuk lagi aduh,"['coba', 'menyarankan', 'pelatih', 'dong', 'abang', 'ganteng', 'nanti', 'giliran', 'sudah', 'diganti', 'terus', 'enggak', 'dapat', 'tropi', 'ngamuk', 'lagi', 'aduh']",coba menyarankan pelatih abang ganteng giliran diganti tropi ngamuk aduh
Pundit yang kadang ngomong nya nguawur aja udh berbicara tentang fakta,pundit yang kadang ngomong nya nguawur aja udh berbicara tentang fakta,negatif,pundit yang kadang ngomong nya nguawur aja udh berbicara tentang fakta,pundit yang kadang ngomong nya nguawur aja udh berbicara tentang fakta,pundit yang kadang mengomong nya nguawur saja sudah berbicara tentang fakta,"['pundit', 'yang', 'kadang', 'mengomong', 'nya', 'nguawur', 'saja', 'sudah', 'berbicara', 'tentang', 'fakta']",pundit kadang mengomong nya nguawur berbicara fakta
Harinya @altaybayindir ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã«Ã¨ï£¿Ã¼Ã«Ã¨,harinya,netral,harinya,harinya,harinya,['harinya'],harinya
"Ruben Amorim mulai menunjukkan kualitasnya di laga kedua, meskipun kami tidak menang, saya bisa melihat perbaikan dalam permainan tim.",ruben amorim mulai menunjukkan kualitasnya di laga kedua meskipun kami tidak menang saya bisa melihat perbaikan dalam permainan tim,positif,ruben amorim mulai menunjukkan kualitasnya di laga kedua meskipun kami tidak menang saya bisa melihat perbaikan dalam permainan tim,ruben amorim mulai menunjukkan kualitasnya di laga kedua meskipun kami tidak menang saya bisa melihat perbaikan dalam permainan tim,ruben amorim mulai menunjukkan kualitasnya di laga kedua meskipun kami tidak menang saya bisa melihat perbaikan dalam permainan tim,"['ruben', 'amorim', 'mulai', 'menunjukkan', 'kualitasnya', 'di', 'laga', 'kedua', 'meskipun', 'kami', 'tidak', 'menang', 'saya', 'bisa', 'melihat', 'perbaikan', 'dalam', 'permainan', 'tim']",ruben amorim kualitasnya laga menang perbaikan permainan tim
"nah. Itu dia bro.. Beda kalo hojlund. Udah mentok, masuk si Zikri langsung leluasa banget winger MU karna bisa buka ruang walaupun cuma keliatan mondar mandir",nah itu dia bro beda kalo hojlund udah mentok masuk si zikri langsung leluasa banget winger mu karna bisa buka ruang walaupun cuma keliatan mondar mandir,positif,nah itu dia bro beda kalo hojlund udah mentok masuk si zikri langsung leluasa banget winger mu karna bisa buka ruang walaupun cuma keliatan mondar mandir,nah itu dia bro beda kalo hojlund udah mentok masuk si zikri langsung leluasa banget winger mu karna bisa buka ruang walaupun cuma keliatan mondar mandir,nah itu dia bro beda kalo hojlund sudah mentok masuk sih zikri langsung leluasa banget winger mu karena bisa buka ruang walaupun cuma kelihatan mondar mandir,"['nah', 'itu', 'dia', 'bro', 'beda', 'kalo', 'hojlund', 'sudah', 'mentok', 'masuk', 'sih', 'zikri', 'langsung', 'leluasa', 'banget', 'winger', 'mu', 'karena', 'bisa', 'buka', 'ruang', 'walaupun', 'cuma', 'kelihatan', 'mondar', 'mandir']",bro beda kalo hojlund mentok masuk sih zikri langsung leluasa banget winger mu buka ruang mondar mandir
"Saya suka gaya bermain ini, lebih menyenangkan untuk ditonton.",saya suka gaya bermain ini lebih menyenangkan untuk ditonton,positif,saya suka gaya bermain ini lebih menyenangkan untuk ditonton,saya suka gaya bermain ini lebih menyenangkan untuk ditonton,saya suka gaya bermain ini lebih menyenangkan untuk ditonton,"['saya', 'suka', 'gaya', 'bermain', 'ini', 'lebih', 'menyenangkan', 'untuk', 'ditonton']",suka gaya bermain menyenangkan ditonton
Kecepatan transisi serangan lebih baik sekarang dibanding era Ten Hag.,kecepatan transisi serangan lebih baik sekarang dibanding era ten hag,positif,kecepatan transisi serangan lebih baik sekarang dibanding era ten hag,kecepatan transisi serangan lebih baik sekarang dibanding era ten hag,kecepatan transisi serangan lebih baik sekarang dibanding era ten hag,"['kecepatan', 'transisi', 'serangan', 'lebih', 'baik', 'sekarang', 'dibanding', 'era', 'ten', 'hag']",kecepatan transisi serangan dibanding era ten hag
@tokosandalmakmi wkwkwk 3 musim permainan gitu gitu aja ga ada perkembangan,wkwkwk musim permainan gitu gitu aja ga ada perkembangan,negatif,wkwkwk musim permainan gitu gitu aja ga ada perkembangan,wkwkwk musim permainan gitu gitu aja ga ada perkembangan,wkwkwk musim permainan begitu begitu saja enggak ada perkembangan,"['wkwkwk', 'musim', 'permainan', 'begitu', 'begitu', 'saja', 'enggak', 'ada', 'perkembangan']",wkwkwk musim permainan perkembangan
"Penyerang kita lebih cocok jadi tukang kayu, finishingnya busuk banget!",penyerang kita lebih cocok jadi tukang kayu finishingnya busuk banget,negatif,penyerang kita lebih cocok jadi tukang kayu finishingnya busuk banget,penyerang kita lebih cocok jadi tukang kayu finishingnya busuk banget,penyerang kita lebih cocok jadi tukang kayu finishingnya busuk banget,"['penyerang', 'kita', 'lebih', 'cocok', 'jadi', 'tukang', 'kayu', 'finishingnya', 'busuk', 'banget']",penyerang cocok tukang kayu finishingnya busuk banget
senggol dikit pelanggan,senggol dikit pelanggan,positif,senggol dikit pelanggan,senggol dikit pelanggan,senggol dikit pelanggan,"['senggol', 'dikit', 'pelanggan']",senggol dikit pelanggan
itu 3 bek solid banget anjirrrrr ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢,itu bek solid banget anjir,positif,itu bek solid banget anjir,itu bek solid banget anjir,itu bek solid banget anjir,"['itu', 'bek', 'solid', 'banget', 'anjir']",bek solid banget anjir
"Tomini emang oke sih, cuman skill dia cool down nya lama banget. 1 match oke 10 match kedepan bapuk gitu terus siklus nya",tomini emang oke sih cuman skill dia cool down nya lama banget match oke match kedepan bapuk gitu terus siklus nya,negatif,tomini emang oke sih cuman skill dia cool down nya lama banget match oke match kedepan bapuk gitu terus siklus nya,tomini emang oke sih cuman skill dia cool down nya lama banget match oke match kedepan bapuk gitu terus siklus nya,tomini memang oke sih cuman skill dia cool down nya lama banget match oke match kedepan bapuk begitu terus siklus nya,"['tomini', 'memang', 'oke', 'sih', 'cuman', 'skill', 'dia', 'cool', 'down', 'nya', 'lama', 'banget', 'match', 'oke', 'match', 'kedepan', 'bapuk', 'begitu', 'terus', 'siklus', 'nya']",tomini oke sih cuman skill cool down nya banget match oke match kedepan bapuk siklus nya
Set-piece lebih terorganisir dan memiliki variasi yang lebih banyak.,setpiece lebih terorganisir dan memiliki variasi yang lebih banyak,positif,setpiece lebih terorganisir dan memiliki variasi yang lebih banyak,setpiece lebih terorganisir dan memiliki variasi yang lebih banyak,setpiece lebih terorganisir dan memiliki variasi yang lebih banyak,"['setpiece', 'lebih', 'terorganisir', 'dan', 'memiliki', 'variasi', 'yang', 'lebih', 'banyak']",setpiece terorganisir memiliki variasi
Tai tai taii,tai tai taii,negatif,tai tai taii,tai tai taii,tahi tahi taii,"['tahi', 'tahi', 'taii']",tahi tahi taii
Definitely agree with that one,definitely agree with that one,netral,definitely agree with that one,definitely agree with that one,definitely agree with that one,"['definitely', 'agree', 'with', 'that', 'one']",definitely agree with that one
Pertandingan akan dimulai pukul 19:00 WIB.,pertandingan akan dimulai pukul wib,netral,pertandingan akan dimulai pukul wib,pertandingan akan dimulai pukul wib,pertandingan akan dimulai pukul wib,"['pertandingan', 'akan', 'dimulai', 'pukul', 'wib']",pertandingan wib
amad casemiro kurs bgt,amad casemiro kurs bgt,positif,amad casemiro kurs bgt,amad casemiro kurs bgt,amad casemiro kurs banget,"['amad', 'casemiro', 'kurs', 'banget']",amad casemiro kurs banget
Gasssss,gas,negatif,gas,gas,gas,['gas'],gas
"Lini belakang kita lemah banget! 1-2 kalah, kalau ini nggak diperbaiki, kita bisa terus-terusan kalah.",lini belakang kita lemah banget kalah kalau ini nggak diperbaiki kita bisa terusterusan kalah,positif,lini belakang kita lemah banget kalah kalau ini nggak diperbaiki kita bisa terusterusan kalah,lini belakang kita lemah banget kalah kalau ini nggak diperbaiki kita bisa terusterusan kalah,lini belakang kita lemah banget kalah kalau ini enggak diperbaiki kita bisa terusterusan kalah,"['lini', 'belakang', 'kita', 'lemah', 'banget', 'kalah', 'kalau', 'ini', 'enggak', 'diperbaiki', 'kita', 'bisa', 'terusterusan', 'kalah']",lini lemah banget kalah diperbaiki terusterusan kalah
"Transisi bertahan masih jadi masalah, baik di era Ten Hag maupun Amorim.",transisi bertahan masih jadi masalah baik di era ten hag maupun amorim,negatif,transisi bertahan masih jadi masalah baik di era ten hag maupun amorim,transisi bertahan masih jadi masalah baik di era ten hag maupun amorim,transisi bertahan masih jadi masalah baik di era ten hag maupun amorim,"['transisi', 'bertahan', 'masih', 'jadi', 'masalah', 'baik', 'di', 'era', 'ten', 'hag', 'maupun', 'amorim']",transisi bertahan era ten hag amorim
Kemungkinan memasukkan mactominay si botakï£¿Ã¼Ã²Ã ï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,kemungkinan memasukkan mactominay si botak,netral,kemungkinan memasukkan mactominay si botak,kemungkinan memasukkan mactominay si botak,kemungkinan memasukkan mactominay sih botak,"['kemungkinan', 'memasukkan', 'mactominay', 'sih', 'botak']",memasukkan mactominay sih botak
anjing wasitnya,anjing wasitnya,negatif,anjing wasitnya,anjing wasitnya,anjing wasitnya,"['anjing', 'wasitnya']",anjing wasitnya
Tolol emang zirkzeeï£¿Ã¼Ã²Ã­ï£¿Ã¼Ã²Ã­,tolol emang zirkzee,negatif,tolol emang zirkzee,tolol emang zirkzee,tolol memang zirkzee,"['tolol', 'memang', 'zirkzee']",tolol zirkzee
"Ten Hag masih mending lah, ini Amorim kayak pelatih tim kampung! MALU!",ten hag masih mending lah ini amorim kayak pelatih tim kampung malu,negatif,ten hag masih mending lah ini amorim kayak pelatih tim kampung malu,ten hag masih mending lah ini amorim kayak pelatih tim kampung malu,ten hag masih mending lah ini amorim kayak pelatih tim kampung malu,"['ten', 'hag', 'masih', 'mending', 'lah', 'ini', 'amorim', 'kayak', 'pelatih', 'tim', 'kampung', 'malu']",ten hag mending amorim kayak pelatih tim kampung malu
"Selama masih memainkan si badut onana, selama itu pula United akan menjadi tim yang ANEH. Menyerang gak bisa, bertahan pun kagak becus Onana adalah kanker bagi tim United!",selama masih memainkan si badut onana selama itu pula united akan menjadi tim yang aneh menyerang gak bisa bertahan pun kagak becus onana adalah kanker bagi tim united,negatif,selama masih memainkan si badut onana selama itu pula united akan menjadi tim yang aneh menyerang gak bisa bertahan pun kagak becus onana adalah kanker bagi tim united,selama masih memainkan si badut onana selama itu pula united akan menjadi tim yang aneh menyerang gak bisa bertahan pun kagak becus onana adalah kanker bagi tim united,selama masih memainkan sih badut onana selama itu pula united akan menjadi tim yang aneh menyerang enggak bisa bertahan pun kagak becus onana adalah kanker bagi tim united,"['selama', 'masih', 'memainkan', 'sih', 'badut', 'onana', 'selama', 'itu', 'pula', 'united', 'akan', 'menjadi', 'tim', 'yang', 'aneh', 'menyerang', 'enggak', 'bisa', 'bertahan', 'pun', 'kagak', 'becus', 'onana', 'adalah', 'kanker', 'bagi', 'tim', 'united']",memainkan sih badut onana united tim aneh menyerang bertahan kagak becus onana kanker tim united
"@mrafiqaditya27 kalo liat bola naek baru magu maju gk offside bang, tapi kalo liat posisi gini ya offside, kalo diambil si dalot tadi offside jelas",kalo liat bola naek baru magu maju gk offside bang tapi kalo liat posisi gini ya offside kalo diambil si dalot tadi offside jelas,negatif,kalo liat bola naek baru magu maju gk offside bang tapi kalo liat posisi gini ya offside kalo diambil si dalot tadi offside jelas,kalo liat bola naek baru magu maju gk offside bang tapi kalo liat posisi gini ya offside kalo diambil si dalot tadi offside jelas,kalo lihat bola naik baru magu maju enggak offside bang tapi kalo lihat posisi begini ya offside kalo diambil sih dalot tadi offside jelas,"['kalo', 'lihat', 'bola', 'naik', 'baru', 'magu', 'maju', 'enggak', 'offside', 'bang', 'tapi', 'kalo', 'lihat', 'posisi', 'begini', 'ya', 'offside', 'kalo', 'diambil', 'sih', 'dalot', 'tadi', 'offside', 'jelas']",kalo lihat bola magu maju offside bang kalo lihat posisi ya offside kalo diambil sih dalot offside
Pemain lebih percaya diri mengambil risiko di lapangan sejak Amorim datang.,pemain lebih percaya diri mengambil risiko di lapangan sejak amorim datang,positif,pemain lebih percaya diri mengambil risiko di lapangan sejak amorim datang,pemain lebih percaya diri mengambil risiko di lapangan sejak amorim datang,pemain lebih percaya diri mengambil risiko di lapangan sejak amorim datang,"['pemain', 'lebih', 'percaya', 'diri', 'mengambil', 'risiko', 'di', 'lapangan', 'sejak', 'amorim', 'datang']",pemain percaya mengambil risiko lapangan amorim
Belom tentu... tergantung si ten hag,belom tentu tergantung si ten hag,negatif,belom tentu tergantung si ten hag,belom tentu tergantung si ten hag,belum tentu tergantung sih ten hag,"['belum', 'tentu', 'tergantung', 'sih', 'ten', 'hag']",tergantung sih ten hag
Stop maenin raspot dr awal..!!,stop maenin raspot dr awal,negatif,stop maenin raspot dr awal,stop maenin raspot dr awal,stop maenin raspot dari awal,"['stop', 'maenin', 'raspot', 'dari', 'awal']",stop maenin raspot
